波长/nm,前视相机PAN,B1,B2 ,B3,B4
598,0.637,0.001,0.042,0.001,0.008
599,0.637,0.001,0.023,0.001,0.008
600,0.636,0.001,0.003,0.001,0.007
601,0.633,0.001,0.003,0.001,0.007
602,0.631,0.001,0.002,0.001,0.007
603,0.628,0.001,0.002,0.001,0.006
604,0.625,0.001,0.001,0.001,0.006
605,0.623,0.001,0,0.001,0.005
606,0.622,0.001,0,0.001,0.005
607,0.622,0.001,0,0.001,0.006
608,0.621,0,0,0.001,0.006
609,0.62,0,0,0.001,0.006
610,0.62,0,0,0.001,0.006
611,0.621,0,0,0.001,0.007
612,0.622,0.001,0,0.001,0.008
613,0.623,0.001,0,0.001,0.01
614,0.625,0.001,0,0.001,0.011
615,0.626,0.001,0,0.001,0.012
616,0.627,0.001,0,0.001,0.012
617,0.628,0.001,0,0.001,0.012
618,0.63,0.001,0,0.001,0.012
619,0.631,0.001,0,0.002,0.012
620,0.632,0.001,0,0.002,0.012
621,0.633,0.001,0,0.009,0.011
622,0.635,0.001,0,0.016,0.01
623,0.636,0.001,0,0.023,0.009
624,0.638,0.001,0,0.03,0.008
625,0.639,0.001,0,0.037,0.007
626,0.642,0.001,0,0.086,0.007
627,0.645,0.001,0,0.134,0.007
628,0.648,0.001,0,0.182,0.007
629,0.651,0,0,0.23,0.007
630,0.654,0,0,0.278,0.007
631,0.658,0,0,0.373,0.009
632,0.662,0,0.001,0.467,0.011
633,0.666,0,0.001,0.562,0.013
634,0.669,0,0.001,0.657,0.015
635,0.673,0,0.001,0.752,0.017
636,0.676,0,0.001,0.787,0.018
637,0.678,0,0.001,0.823,0.018
638,0.68,0,0.001,0.859,0.019
639,0.683,0,0.001,0.894,0.02
640,0.685,0.001,0.001,0.93,0.021
641,0.687,0.001,0.001,0.935,0.019
642,0.688,0.001,0.001,0.94,0.017
643,0.69,0.001,0.001,0.946,0.015
644,0.691,0.001,0.001,0.951,0.013
645,0.693,0.001,0.001,0.956,0.011
646,0.696,0.001,0.001,0.965,0.012
647,0.7,0.001,0.001,0.974,0.012
648,0.703,0.001,0.001,0.982,0.012
649,0.707,0.001,0.001,0.991,0.012
650,0.71,0.001,0.001,1,0.012
651,0.716,0.001,0.001,0.998,0.014
652,0.722,0.001,0.001,0.996,0.016
653,0.727,0.001,0.001,0.995,0.018
654,0.733,0.001,0.001,0.993,0.02
655,0.738,0,0.001,0.991,0.022
656,0.746,0,0.001,0.989,0.021
657,0.754,0,0.001,0.988,0.021
658,0.762,0,0.001,0.986,0.02
659,0.769,0,0.001,0.985,0.02
660,0.777,0,0.001,0.983,0.019
661,0.786,0,0.001,0.981,0.018
662,0.795,0,0.001,0.979,0.016
663,0.804,0,0.001,0.977,0.014
664,0.813,0,0.001,0.974,0.013
665,0.822,0,0.001,0.972,0.011
666,0.83,0,0.001,0.968,0.012
667,0.839,0,0.001,0.964,0.013
668,0.847,0,0.001,0.96,0.013
669,0.856,0.001,0.001,0.956,0.014
670,0.865,0.001,0.001,0.952,0.015
671,0.873,0.001,0.001,0.955,0.016
672,0.881,0.001,0.001,0.957,0.017
673,0.889,0.001,0.001,0.96,0.018
674,0.897,0.001,0.001,0.962,0.019
675,0.905,0.001,0.001,0.965,0.02
676,0.912,0.001,0.001,0.968,0.018
677,0.918,0.001,0.001,0.971,0.016
678,0.925,0.001,0.001,0.974,0.014
679,0.932,0.001,0.001,0.977,0.011
680,0.939,0.001,0.001,0.98,0.009
681,0.943,0.001,0.001,0.967,0.008
682,0.948,0.001,0.001,0.954,0.007
683,0.953,0.001,0.001,0.941,0.006
684,0.958,0.001,0.001,0.928,0.005
685,0.962,0.001,0.001,0.915,0.004
686,0.965,0.001,0.001,0.82,0.004
687,0.969,0.001,0.001,0.725,0.003
688,0.972,0.001,0.001,0.63,0.003
689,0.975,0.001,0.001,0.535,0.003
690,0.978,0.001,0.001,0.44,0.003
691,0.981,0.001,0.001,0.362,0.004
692,0.983,0.001,0.001,0.283,0.005
693,0.985,0.001,0.001,0.205,0.005
694,0.988,0.001,0.001,0.126,0.006
695,0.99,0.001,0.001,0.048,0.007
696,0.992,0.001,0.001,0.039,0.008
697,0.993,0.002,0.001,0.03,0.009
698,0.995,0.002,0.001,0.021,0.009
699,0.996,0.002,0.001,0.012,0.01
700,0.998,0.002,0.001,0.003,0.011
701,0.998,0.002,0.001,0.002,0.01
702,0.999,0.002,0.001,0.002,0.008
703,0.999,0.002,0.001,0.001,0.007
704,1,0.002,0.001,0.001,0.005
705,1,0.002,0.001,0.001,0.004
706,0.998,0.002,0.001,0.001,0.003
707,0.997,0.002,0.001,0.001,0.003
708,0.995,0.002,0.001,0.001,0.002
709,0.994,0.002,0.001,0.001,0.002
710,0.992,0.002,0.001,0.001,0.002
711,0.987,0.002,0.001,0.001,0.002
712,0.982,0.002,0.001,0.001,0.002
713,0.977,0.002,0.001,0.001,0.001
714,0.972,0.002,0.001,0.001,0.001
715,0.967,0.002,0.001,0.001,0.001
716,0.964,0.002,0.001,0.001,0.001
717,0.96,0.002,0.001,0.001,0.001
718,0.957,0.002,0.001,0.001,0.001
719,0.953,0.002,0.001,0.001,0.002
720,0.95,0.002,0.001,0.001,0.002
721,0.952,0.002,0.001,0.001,0.002
722,0.955,0.002,0.001,0.001,0.002
723,0.957,0.002,0.001,0.001,0.002
724,0.96,0.002,0.001,0.001,0.002
725,0.962,0.002,0.001,0.001,0.002
726,0.967,0.002,0.001,0.001,0.002
727,0.972,0.002,0.001,0.001,0.002
728,0.976,0.002,0.001,0.001,0.002
729,0.981,0.002,0.001,0.001,0.002
730,0.986,0.002,0.001,0.001,0.002
731,0.986,0.002,0.001,0.001,0.002
732,0.985,0.002,0.001,0.001,0.002
733,0.985,0.003,0.001,0.001,0.002
734,0.985,0.003,0.001,0.001,0.002
735,0.985,0.003,0.001,0.001,0.003
736,0.981,0.003,0.001,0.001,0.003
737,0.976,0.003,0.001,0.001,0.003
738,0.972,0.003,0.001,0.001,0.003
739,0.968,0.003,0.001,0.001,0.003
740,0.964,0.003,0.001,0.001,0.003
741,0.961,0.003,0.001,0.001,0.003
742,0.958,0.003,0.001,0.001,0.003
743,0.954,0.003,0.001,0.001,0.004
744,0.951,0.003,0.001,0.001,0.004
745,0.948,0.003,0.001,0.001,0.004
746,0.948,0.004,0.001,0.001,0.004
747,0.947,0.004,0.001,0.001,0.004
748,0.947,0.004,0.001,0.001,0.004
749,0.947,0.004,0.002,0.001,0.005
750,0.946,0.004,0.002,0.001,0.005
751,0.945,0.004,0.002,0.001,0.005
752,0.945,0.004,0.002,0.001,0.006
753,0.944,0.004,0.002,0.001,0.006
754,0.943,0.004,0.002,0.001,0.007
755,0.942,0.004,0.002,0.001,0.007
756,0.941,0.004,0.002,0.001,0.008
757,0.94,0.004,0.002,0.001,0.01
758,0.939,0.004,0.002,0.001,0.011
759,0.937,0.004,0.002,0.001,0.012
760,0.936,0.004,0.002,0.001,0.013
761,0.937,0.004,0.002,0.001,0.019
762,0.938,0.004,0.002,0.001,0.025
763,0.938,0.004,0.002,0.001,0.031
764,0.939,0.004,0.002,0.001,0.037
765,0.94,0.004,0.002,0.001,0.043
766,0.942,0.005,0.002,0.001,0.074
767,0.944,0.005,0.002,0.002,0.105
768,0.946,0.005,0.002,0.002,0.136
769,0.948,0.005,0.002,0.002,0.166
770,0.95,0.005,0.002,0.002,0.197
771,0.949,0.005,0.002,0.002,0.279
772,0.949,0.005,0.002,0.002,0.361
773,0.948,0.006,0.002,0.002,0.443
774,0.947,0.006,0.002,0.002,0.525
775,0.946,0.006,0.002,0.002,0.607
776,0.944,0.006,0.002,0.003,0.665
777,0.942,0.006,0.002,0.003,0.723
778,0.94,0.006,0.002,0.003,0.781
779,0.938,0.006,0.002,0.003,0.839
780,0.936,0.006,0.002,0.003,0.897
781,0.933,0.006,0.002,0.003,0.907
782,0.93,0.006,0.002,0.003,0.917
783,0.928,0.006,0.003,0.003,0.927
784,0.925,0.006,0.003,0.003,0.937
785,0.922,0.006,0.003,0.003,0.946
786,0.919,0.006,0.003,0.003,0.95
787,0.916,0.006,0.002,0.003,0.953
788,0.913,0.005,0.002,0.003,0.956
789,0.91,0.005,0.002,0.003,0.96
790,0.907,0.005,0.002,0.003,0.963
791,0.904,0.005,0.002,0.003,0.963
792,0.901,0.006,0.002,0.003,0.963
793,0.898,0.006,0.002,0.003,0.963
794,0.895,0.006,0.002,0.003,0.963
795,0.892,0.007,0.002,0.003,0.964
796,0.889,0.007,0.003,0.003,0.964
797,0.886,0.008,0.003,0.003,0.964
