spec,PAN,B1,B2,B3,B4
530,3.88E-01,2.88E-02,8.17E-01,1.17E-02,1.06E-02
531,3.91E-01,2.49E-02,8.31E-01,1.12E-02,1.11E-02
532,3.95E-01,2.09E-02,8.45E-01,1.06E-02,1.16E-02
533,3.97E-01,1.85E-02,8.57E-01,1.01E-02,1.22E-02
534,4.00E-01,1.60E-02,8.67E-01,9.60E-03,1.27E-02
535,4.02E-01,1.45E-02,8.79E-01,9.60E-03,1.27E-02
536,4.05E-01,1.30E-02,8.91E-01,9.50E-03,1.27E-02
537,4.07E-01,1.25E-02,9.04E-01,9.50E-03,1.32E-02
538,4.10E-01,1.20E-02,9.16E-01,9.50E-03,1.37E-02
539,4.12E-01,1.15E-02,9.29E-01,9.50E-03,1.32E-02
540,4.14E-01,1.10E-02,9.43E-01,9.50E-03,1.27E-02
541,4.16E-01,1.05E-02,9.56E-01,1.01E-02,1.27E-02
542,4.18E-01,1.00E-02,9.70E-01,1.06E-02,1.27E-02
543,4.18E-01,1.00E-02,9.80E-01,1.11E-02,1.27E-02
544,4.18E-01,1.00E-02,9.90E-01,1.16E-02,1.27E-02
545,4.19E-01,1.05E-02,9.95E-01,1.22E-02,1.27E-02
546,4.19E-01,1.10E-02,1.00E+00,1.27E-02,1.27E-02
547,4.19E-01,1.15E-02,1.00E+00,1.27E-02,1.32E-02
548,4.20E-01,1.20E-02,9.98E-01,1.27E-02,1.37E-02
549,4.20E-01,1.24E-02,9.93E-01,1.27E-02,1.37E-02
550,4.20E-01,1.29E-02,9.89E-01,1.27E-02,1.37E-02
551,4.19E-01,1.38E-02,9.82E-01,1.27E-02,1.32E-02
552,4.19E-01,1.48E-02,9.76E-01,1.27E-02,1.26E-02
553,4.18E-01,1.62E-02,9.71E-01,1.21E-02,1.16E-02
554,4.18E-01,1.77E-02,9.68E-01,1.16E-02,1.05E-02
555,4.17E-01,1.87E-02,9.65E-01,1.11E-02,1.00E-02
556,4.16E-01,1.97E-02,9.63E-01,1.05E-02,9.50E-03
557,4.15E-01,2.07E-02,9.61E-01,1.00E-02,9.40E-03
558,4.14E-01,2.18E-02,9.59E-01,9.50E-03,9.40E-03
559,4.13E-01,2.18E-02,9.58E-01,8.90E-03,1.00E-02
560,4.11E-01,2.19E-02,9.56E-01,8.40E-03,1.05E-02
561,4.11E-01,2.19E-02,9.54E-01,7.90E-03,1.15E-02
562,4.11E-01,2.19E-02,9.51E-01,7.40E-03,1.26E-02
563,4.12E-01,2.09E-02,9.48E-01,7.40E-03,1.31E-02
564,4.13E-01,1.99E-02,9.46E-01,7.30E-03,1.36E-02
565,4.14E-01,1.93E-02,9.45E-01,7.30E-03,1.36E-02
566,4.16E-01,1.88E-02,9.43E-01,7.30E-03,1.36E-02
567,4.18E-01,1.83E-02,9.43E-01,7.30E-03,1.30E-02
568,4.20E-01,1.78E-02,9.43E-01,7.30E-03,1.25E-02
569,4.22E-01,1.77E-02,9.42E-01,7.80E-03,1.09E-02
570,4.24E-01,1.78E-02,9.43E-01,8.40E-03,9.40E-03
571,4.26E-01,1.77E-02,9.39E-01,8.90E-03,8.30E-03
572,4.28E-01,1.78E-02,9.37E-01,9.40E-03,7.30E-03
573,4.30E-01,1.82E-02,9.33E-01,1.04E-02,7.30E-03
574,4.32E-01,1.87E-02,9.29E-01,1.15E-02,7.30E-03
