nm,P,B1,B2,B3,B4
618,5.97E-01,1.61E-03,8.52E-05,4.83E-02,2.69E-03
619,6.02E-01,9.63E-04,5.35E-05,6.33E-02,2.70E-03
620,6.07E-01,5.96E-04,3.57E-05,8.36E-02,2.75E-03
621,6.12E-01,3.78E-04,2.50E-05,1.10E-01,2.83E-03
622,6.17E-01,2.49E-04,1.87E-05,1.45E-01,2.95E-03
623,6.24E-01,1.70E-04,1.43E-05,1.90E-01,3.09E-03
624,6.31E-01,1.20E-04,1.17E-05,2.45E-01,3.27E-03
625,6.38E-01,8.58E-05,9.66E-06,3.12E-01,3.46E-03
626,6.45E-01,6.40E-05,8.42E-06,3.86E-01,3.68E-03
627,6.51E-01,4.87E-05,7.63E-06,4.63E-01,3.89E-03
628,6.57E-01,3.81E-05,7.08E-06,5.32E-01,4.11E-03
629,6.62E-01,3.00E-05,6.67E-06,5.90E-01,4.31E-03
630,6.69E-01,2.45E-05,6.48E-06,6.37E-01,4.51E-03
631,6.73E-01,2.02E-05,6.30E-06,6.68E-01,4.67E-03
632,6.78E-01,1.69E-05,6.24E-06,6.90E-01,4.81E-03
633,6.82E-01,1.44E-05,6.21E-06,7.05E-01,4.91E-03
634,6.86E-01,1.27E-05,6.18E-06,7.17E-01,4.98E-03
635,6.90E-01,1.15E-05,6.15E-06,7.25E-01,5.02E-03
636,6.93E-01,1.06E-05,5.92E-06,7.33E-01,5.04E-03
637,6.98E-01,9.83E-06,5.51E-06,7.40E-01,5.04E-03
638,7.02E-01,9.29E-06,4.83E-06,7.46E-01,5.04E-03
639,7.06E-01,8.74E-06,4.07E-06,7.52E-01,5.05E-03
640,7.11E-01,8.31E-06,3.30E-06,7.58E-01,5.07E-03
641,7.16E-01,7.97E-06,2.63E-06,7.64E-01,5.11E-03
642,7.21E-01,7.59E-06,2.08E-06,7.67E-01,5.18E-03
643,7.28E-01,7.17E-06,1.68E-06,7.73E-01,5.28E-03
644,7.35E-01,6.87E-06,1.32E-06,7.77E-01,5.42E-03
645,7.41E-01,6.41E-06,1.04E-06,7.80E-01,5.59E-03
646,7.48E-01,6.09E-06,8.07E-07,7.81E-01,5.79E-03
647,7.55E-01,5.76E-06,6.56E-07,7.85E-01,6.03E-03
648,7.63E-01,5.63E-06,5.57E-07,7.90E-01,6.29E-03
649,7.71E-01,5.63E-06,5.04E-07,7.97E-01,6.57E-03
650,7.80E-01,5.67E-06,4.44E-07,8.03E-01,6.88E-03
651,7.88E-01,5.84E-06,4.06E-07,8.12E-01,7.19E-03
652,7.96E-01,6.13E-06,3.90E-07,8.20E-01,7.50E-03
653,8.03E-01,6.37E-06,3.87E-07,8.29E-01,7.81E-03
654,8.10E-01,6.83E-06,3.95E-07,8.39E-01,8.10E-03
655,8.17E-01,7.17E-06,3.88E-07,8.49E-01,8.37E-03
656,8.24E-01,7.53E-06,3.98E-07,8.60E-01,8.60E-03
657,8.32E-01,7.85E-06,4.12E-07,8.72E-01,8.81E-03
658,8.38E-01,8.24E-06,4.25E-07,8.83E-01,8.98E-03
659,8.45E-01,8.70E-06,4.36E-07,8.93E-01,9.11E-03
660,8.51E-01,9.17E-06,4.62E-07,9.05E-01,9.21E-03
661,8.57E-01,9.93E-06,5.12E-07,9.11E-01,9.28E-03
662,8.63E-01,1.10E-05,5.78E-07,9.22E-01,9.34E-03
663,8.68E-01,1.26E-05,6.90E-07,9.29E-01,9.36E-03
664,8.73E-01,1.48E-05,8.39E-07,9.35E-01,9.39E-03
665,8.78E-01,1.79E-05,1.08E-06,9.43E-01,9.42E-03
666,8.82E-01,2.16E-05,1.44E-06,9.47E-01,9.43E-03
667,8.85E-01,2.68E-05,1.89E-06,9.50E-01,9.46E-03
668,8.88E-01,3.34E-05,2.58E-06,9.55E-01,9.50E-03
669,8.93E-01,4.20E-05,3.50E-06,9.61E-01,9.57E-03
670,8.96E-01,5.20E-05,4.73E-06,9.65E-01,9.64E-03
671,8.99E-01,6.25E-05,6.10E-06,9.69E-01,9.74E-03
672,9.03E-01,7.29E-05,7.56E-06,9.75E-01,9.86E-03
673,9.06E-01,8.09E-05,8.93E-06,9.80E-01,1.00E-02
674,9.10E-01,8.44E-05,9.88E-06,9.84E-01,1.01E-02
675,9.12E-01,8.38E-05,1.01E-05,9.89E-01,1.03E-02
676,9.15E-01,7.84E-05,9.52E-06,9.92E-01,1.04E-02
677,9.18E-01,7.06E-05,8.38E-06,9.96E-01,1.05E-02
678,9.20E-01,6.26E-05,7.16E-06,9.99E-01,1.06E-02
679,9.22E-01,5.49E-05,5.92E-06,9.99E-01,1.07E-02
680,9.23E-01,4.81E-05,4.86E-06,1.00E+00,1.08E-02
681,9.24E-01,4.27E-05,3.98E-06,9.96E-01,1.08E-02
682,9.24E-01,3.81E-05,3.24E-06,9.90E-01,1.08E-02
683,9.27E-01,3.52E-05,2.81E-06,9.82E-01,1.08E-02
684,9.28E-01,3.34E-05,2.43E-06,9.65E-01,1.07E-02
685,9.29E-01,3.30E-05,2.18E-06,9.42E-01,1.06E-02
686,9.29E-01,3.43E-05,2.15E-06,9.11E-01,1.04E-02
687,9.28E-01,3.78E-05,2.22E-06,8.68E-01,1.03E-02
688,9.27E-01,4.49E-05,2.45E-06,8.15E-01,1.01E-02
689,9.26E-01,5.62E-05,2.94E-06,7.54E-01,9.85E-03
690,9.25E-01,7.10E-05,3.65E-06,6.85E-01,9.61E-03
691,9.26E-01,8.55E-05,4.15E-06,6.13E-01,9.36E-03
692,9.28E-01,1.01E-04,5.12E-06,5.41E-01,9.09E-03
693,9.29E-01,1.19E-04,6.03E-06,4.70E-01,8.81E-03
694,9.30E-01,1.37E-04,6.88E-06,4.04E-01,8.51E-03
695,9.31E-01,1.50E-04,7.79E-06,3.44E-01,8.22E-03
696,9.31E-01,1.53E-04,8.16E-06,2.90E-01,7.92E-03
697,9.31E-01,1.43E-04,7.75E-06,2.44E-01,7.64E-03
698,9.34E-01,1.22E-04,7.07E-06,2.05E-01,7.37E-03
699,9.34E-01,9.58E-05,5.73E-06,1.71E-01,7.10E-03
700,9.33E-01,7.05E-05,4.40E-06,1.44E-01,6.85E-03
701,9.35E-01,5.02E-05,3.34E-06,1.21E-01,6.63E-03
702,9.35E-01,3.54E-05,2.41E-06,1.01E-01,6.42E-03
703,9.31E-01,2.57E-05,1.80E-06,8.53E-02,6.23E-03
704,9.31E-01,1.94E-05,1.45E-06,7.22E-02,6.08E-03
705,9.29E-01,1.51E-05,1.20E-06,6.16E-02,5.96E-03
706,9.28E-01,1.18E-05,1.00E-06,5.28E-02,5.86E-03
707,9.26E-01,9.39E-06,8.36E-07,4.55E-02,5.77E-03
708,9.24E-01,7.48E-06,6.85E-07,3.94E-02,5.69E-03
709,9.23E-01,5.57E-06,5.28E-07,3.44E-02,5.63E-03
710,9.21E-01,3.52E-06,3.52E-07,3.02E-02,5.59E-03
711,9.20E-01,2.07E-06,2.14E-07,2.68E-02,5.57E-03
712,9.20E-01,1.72E-06,1.81E-07,2.38E-02,5.57E-03
713,9.19E-01,9.71E-07,1.01E-07,2.12E-02,5.59E-03
714,9.18E-01,4.59E-07,4.76E-08,1.92E-02,5.63E-03
715,9.20E-01,4.93E-07,5.05E-08,1.73E-02,5.70E-03
716,9.21E-01,9.34E-07,9.40E-08,1.58E-02,5.80E-03
717,9.19E-01,1.75E-06,1.72E-07,1.44E-02,5.90E-03
718,9.20E-01,2.63E-06,2.50E-07,1.32E-02,6.06E-03
719,9.22E-01,3.17E-06,3.02E-07,1.22E-02,6.24E-03
720,9.22E-01,3.11E-06,2.90E-07,1.12E-02,6.43E-03
721,9.22E-01,2.66E-06,2.41E-07,1.04E-02,6.64E-03
722,9.21E-01,2.30E-06,1.95E-07,9.67E-03,6.88E-03
723,9.21E-01,2.28E-06,1.88E-07,9.06E-03,7.15E-03
724,9.19E-01,2.38E-06,1.91E-07,8.48E-03,7.45E-03
725,9.20E-01,2.34E-06,1.83E-07,8.07E-03,7.81E-03
726,9.18E-01,2.09E-06,1.59E-07,7.69E-03,8.19E-03
727,9.18E-01,2.24E-06,1.63E-07,7.31E-03,8.64E-03
728,9.17E-01,2.34E-06,1.63E-07,6.99E-03,9.14E-03
729,9.15E-01,2.16E-06,1.47E-07,6.68E-03,9.71E-03
730,9.15E-01,1.64E-06,1.10E-07,6.43E-03,1.04E-02
731,9.14E-01,1.24E-06,8.08E-08,6.24E-03,1.12E-02
732,9.13E-01,1.02E-06,6.61E-08,6.04E-03,1.20E-02
733,9.11E-01,1.85E-06,1.19E-07,5.84E-03,1.30E-02
734,9.09E-01,2.12E-06,1.33E-07,5.66E-03,1.40E-02
735,9.08E-01,3.70E-06,2.28E-07,5.49E-03,1.52E-02
736,9.08E-01,4.59E-06,2.82E-07,5.37E-03,1.66E-02
737,9.06E-01,4.67E-06,2.85E-07,5.26E-03,1.81E-02
738,9.06E-01,4.02E-06,2.39E-07,5.22E-03,1.98E-02
739,9.04E-01,3.69E-06,2.16E-07,5.23E-03,2.17E-02
740,9.04E-01,5.42E-06,3.12E-07,5.25E-03,2.39E-02
741,9.04E-01,7.60E-06,4.35E-07,5.22E-03,2.64E-02
742,9.05E-01,9.66E-06,5.53E-07,5.13E-03,2.93E-02
743,9.03E-01,1.09E-05,6.29E-07,5.11E-03,3.25E-02
744,9.07E-01,1.19E-05,6.90E-07,5.11E-03,3.64E-02
745,9.08E-01,1.22E-05,7.22E-07,5.08E-03,4.07E-02
746,9.11E-01,1.01E-05,6.09E-07,5.17E-03,4.58E-02
747,9.13E-01,7.42E-06,4.55E-07,5.21E-03,5.16E-02
748,9.14E-01,6.14E-06,3.84E-07,5.24E-03,5.83E-02
749,9.14E-01,6.08E-06,3.87E-07,5.30E-03,6.59E-02
750,9.18E-01,6.15E-06,4.09E-07,5.32E-03,7.50E-02
751,9.18E-01,4.31E-06,3.03E-07,5.37E-03,8.52E-02
752,9.19E-01,1.95E-06,1.42E-07,5.42E-03,9.70E-02
753,9.19E-01,1.72E-06,1.32E-07,5.44E-03,1.11E-01
754,9.21E-01,2.56E-06,2.06E-07,5.57E-03,1.26E-01
755,9.22E-01,3.79E-06,3.17E-07,5.73E-03,1.45E-01
756,9.21E-01,4.54E-06,3.92E-07,5.84E-03,1.65E-01
757,9.23E-01,4.28E-06,3.90E-07,5.96E-03,1.89E-01
758,9.21E-01,2.90E-06,2.77E-07,5.98E-03,2.15E-01
759,9.19E-01,1.93E-06,1.90E-07,6.01E-03,2.45E-01
760,9.19E-01,3.61E-06,3.79E-07,6.21E-03,2.78E-01
761,9.19E-01,4.17E-06,4.64E-07,6.29E-03,3.15E-01
762,9.18E-01,4.74E-06,5.52E-07,6.38E-03,3.54E-01
763,9.17E-01,4.60E-06,5.54E-07,6.48E-03,3.96E-01
764,9.16E-01,3.66E-06,4.59E-07,6.63E-03,4.41E-01
765,9.14E-01,2.59E-06,3.31E-07,6.75E-03,4.86E-01
766,9.16E-01,1.86E-06,2.47E-07,6.91E-03,5.33E-01
767,9.15E-01,1.44E-06,2.06E-07,7.17E-03,5.78E-01
768,9.16E-01,1.13E-06,1.66E-07,7.26E-03,6.23E-01
769,9.16E-01,7.50E-07,1.13E-07,7.33E-03,6.65E-01
770,9.17E-01,3.59E-07,5.63E-08,7.45E-03,7.04E-01
771,9.19E-01,6.39E-07,1.07E-07,7.61E-03,7.40E-01
772,9.19E-01,8.55E-07,1.54E-07,7.81E-03,7.70E-01
773,9.18E-01,8.68E-07,1.65E-07,7.98E-03,7.96E-01
774,9.18E-01,7.33E-07,1.47E-07,8.16E-03,8.18E-01
775,9.18E-01,6.65E-07,1.45E-07,8.27E-03,8.35E-01
